numero_barra,grupo_ejecucion,barra_origen_longitud,cortes_realizados,piezas_obtenidas,desperdicio_resultante
#5,1,12.0,"[np.float64(4.25), np.float64(4.25), np.float64(3.18)]","[{'id_pedido': np.float64(12.0), 'longitud': np.float64(4.25)}, {'id_pedido': np.float64(12.0), 'longitud': np.float64(4.25)}, {'id_pedido': np.float64(11.0), 'longitud': np.float64(3.18)}]",0.32
#5,1,12.0,"[np.float64(4.25), np.float64(4.25), np.float64(3.18)]","[{'id_pedido': np.float64(12.0), 'longitud': np.float64(4.25)}, {'id_pedido': np.float64(12.0), 'longitud': np.float64(4.25)}, {'id_pedido': np.float64(11.0), 'longitud': np.float64(3.18)}]",0.32
#5,1,12.0,"[np.float64(4.25), np.float64(4.25), np.float64(3.18)]","[{'id_pedido': np.float64(12.0), 'longitud': np.float64(4.25)}, {'id_pedido': np.float64(12.0), 'longitud': np.float64(4.25)}, {'id_pedido': np.float64(11.0), 'longitud': np.float64(3.18)}]",0.32
#5,1,12.0,"[np.float64(3.98), np.float64(3.98), np.float64(3.98)]","[{'id_pedido': np.float64(5.0), 'longitud': np.float64(3.98)}, {'id_pedido': np.float64(5.0), 'longitud': np.float64(3.98)}, {'id_pedido': np.float64(5.0), 'longitud': np.float64(3.98)}]",0.06
#5,1,12.0,"[np.float64(3.98), np.float64(3.98), np.float64(3.98)]","[{'id_pedido': np.float64(5.0), 'longitud': np.float64(3.98)}, {'id_pedido': np.float64(5.0), 'longitud': np.float64(3.98)}, {'id_pedido': np.float64(5.0), 'longitud': np.float64(3.98)}]",0.06
#5,1,12.0,"[np.float64(3.18), np.float64(3.18), np.float64(3.18), np.float64(2.38)]","[{'id_pedido': np.float64(11.0), 'longitud': np.float64(3.18)}, {'id_pedido': np.float64(11.0), 'longitud': np.float64(3.18)}, {'id_pedido': np.float64(11.0), 'longitud': np.float64(3.18)}, {'id_pedido': np.float64(4.0), 'longitud': np.float64(2.38)}]",0.08
#5,1,12.0,"[np.float64(2.38), np.float64(2.38), np.float64(2.38), np.float64(2.0), np.float64(2.0)]","[{'id_pedido': np.float64(4.0), 'longitud': np.float64(2.38)}, {'id_pedido': np.float64(4.0), 'longitud': np.float64(2.38)}, {'id_pedido': np.float64(4.0), 'longitud': np.float64(2.38)}, {'id_pedido': np.float64(1.0), 'longitud': np.float64(2.0)}, {'id_pedido': np.float64(1.0), 'longitud': np.float64(2.0)}]",0.86
#5,1,12.0,"[np.float64(2.0), np.float64(2.0), np.float64(2.0), np.float64(2.0), np.float64(2.0)]","[{'id_pedido': np.float64(1.0), 'longitud': np.float64(2.0)}, {'id_pedido': np.float64(1.0), 'longitud': np.float64(2.0)}, {'id_pedido': np.float64(1.0), 'longitud': np.float64(2.0)}, {'id_pedido': np.float64(1.0), 'longitud': np.float64(2.0)}, {'id_pedido': np.float64(1.0), 'longitud': np.float64(2.0)}]",2.0
#4,1,12.0,"[np.float64(1.2), np.float64(1.2), np.float64(1.2), np.float64(1.2), np.float64(1.2), np.float64(1.2), np.float64(1.2), np.float64(1.2), np.float64(1.2), np.float64(1.2)]","[{'id_pedido': np.float64(14.0), 'longitud': np.float64(1.2)}, {'id_pedido': np.float64(14.0), 'longitud': np.float64(1.2)}, {'id_pedido': np.float64(14.0), 'longitud': np.float64(1.2)}, {'id_pedido': np.float64(14.0), 'longitud': np.float64(1.2)}, {'id_pedido': np.float64(14.0), 'longitud': np.float64(1.2)}, {'id_pedido': np.float64(14.0), 'longitud': np.float64(1.2)}, {'id_pedido': np.float64(14.0), 'longitud': np.float64(1.2)}, {'id_pedido': np.float64(14.0), 'longitud': np.float64(1.2)}, {'id_pedido': np.float64(14.0), 'longitud': np.float64(1.2)}, {'id_pedido': np.float64(14.0), 'longitud': np.float64(1.2)}]",0.0
#4,1,12.0,"[np.float64(1.2), np.float64(1.2), np.float64(1.2), np.float64(1.2), np.float64(1.2), np.float64(1.2), np.float64(1.2), np.float64(1.2), np.float64(1.2), np.float64(1.2)]","[{'id_pedido': np.float64(14.0), 'longitud': np.float64(1.2)}, {'id_pedido': np.float64(14.0), 'longitud': np.float64(1.2)}, {'id_pedido': np.float64(14.0), 'longitud': np.float64(1.2)}, {'id_pedido': np.float64(14.0), 'longitud': np.float64(1.2)}, {'id_pedido': np.float64(14.0), 'longitud': np.float64(1.2)}, {'id_pedido': np.float64(14.0), 'longitud': np.float64(1.2)}, {'id_pedido': np.float64(14.0), 'longitud': np.float64(1.2)}, {'id_pedido': np.float64(14.0), 'longitud': np.float64(1.2)}, {'id_pedido': np.float64(14.0), 'longitud': np.float64(1.2)}, {'id_pedido': np.float64(14.0), 'longitud': np.float64(1.2)}]",0.0
#4,1,12.0,"[np.float64(1.2), np.float64(1.2), np.float64(1.2), np.float64(1.2), np.float64(1.2), np.float64(1.2), np.float64(1.2), np.float64(1.2), np.float64(1.2), np.float64(1.2)]","[{'id_pedido': np.float64(14.0), 'longitud': np.float64(1.2)}, {'id_pedido': np.float64(14.0), 'longitud': np.float64(1.2)}, {'id_pedido': np.float64(14.0), 'longitud': np.float64(1.2)}, {'id_pedido': np.float64(14.0), 'longitud': np.float64(1.2)}, {'id_pedido': np.float64(14.0), 'longitud': np.float64(1.2)}, {'id_pedido': np.float64(14.0), 'longitud': np.float64(1.2)}, {'id_pedido': np.float64(14.0), 'longitud': np.float64(1.2)}, {'id_pedido': np.float64(14.0), 'longitud': np.float64(1.2)}, {'id_pedido': np.float64(14.0), 'longitud': np.float64(1.2)}, {'id_pedido': np.float64(14.0), 'longitud': np.float64(1.2)}]",0.0
#4,1,12.0,"[np.float64(1.2), np.float64(1.2), np.float64(1.2), np.float64(1.2), np.float64(1.2), np.float64(1.2), np.float64(1.2), np.float64(1.2), np.float64(1.2), np.float64(1.2)]","[{'id_pedido': np.float64(14.0), 'longitud': np.float64(1.2)}, {'id_pedido': np.float64(14.0), 'longitud': np.float64(1.2)}, {'id_pedido': np.float64(14.0), 'longitud': np.float64(1.2)}, {'id_pedido': np.float64(14.0), 'longitud': np.float64(1.2)}, {'id_pedido': np.float64(14.0), 'longitud': np.float64(1.2)}, {'id_pedido': np.float64(14.0), 'longitud': np.float64(1.2)}, {'id_pedido': np.float64(14.0), 'longitud': np.float64(1.2)}, {'id_pedido': np.float64(14.0), 'longitud': np.float64(1.2)}, {'id_pedido': np.float64(14.0), 'longitud': np.float64(1.2)}, {'id_pedido': np.float64(14.0), 'longitud': np.float64(1.2)}]",0.0
#4,1,12.0,"[np.float64(1.2), np.float64(1.2), np.float64(1.2), np.float64(1.2), np.float64(1.2), np.float64(1.2), np.float64(1.2), np.float64(1.2), np.float64(1.2), np.float64(1.2)]","[{'id_pedido': np.float64(15.0), 'longitud': np.float64(1.2)}, {'id_pedido': np.float64(15.0), 'longitud': np.float64(1.2)}, {'id_pedido': np.float64(15.0), 'longitud': np.float64(1.2)}, {'id_pedido': np.float64(15.0), 'longitud': np.float64(1.2)}, {'id_pedido': np.float64(15.0), 'longitud': np.float64(1.2)}, {'id_pedido': np.float64(15.0), 'longitud': np.float64(1.2)}, {'id_pedido': np.float64(15.0), 'longitud': np.float64(1.2)}, {'id_pedido': np.float64(15.0), 'longitud': np.float64(1.2)}, {'id_pedido': np.float64(15.0), 'longitud': np.float64(1.2)}, {'id_pedido': np.float64(15.0), 'longitud': np.float64(1.2)}]",0.0
